Name,set x-axis(none),set y-axis(none),set z-axis(none)
1,0.605436,-0.709226,0.647155
2,0.914769,-0.109894,0.405490
3,0.450770,-0.365297,0.301701
4,0.722453,-0.722453,-0.058000
5,0.617647,-0.037649,-0.450770
6,0.160771,-0.239122,-0.609507
7,0.192315,0.154666,-0.434490
8,0.283894,0.425332,0.205543
9,-0.082421,0.135333,0.245227
10,-0.141438,-0.797751,-0.133298
11,-0.470104,-0.633927,0.022386
12,-0.441613,-0.459928,0.027474
13,-0.186210,0.293052,0.076316
14,-0.548454,0.630875,-0.016790
15,-0.088526,0.844558,-0.474174
16,-0.576945,0.731611,-0.701085

Elapsed Time (2D-Experiment) (s),52.67
